trial,proposal_reason,context_len,success,score,smape,mape,rmse,mae,bias,aic,message
1,网格候选 context_len=111,111,True,3.218590789070504,3.021487990610163,3.007701663858901,6501.055691353161,5476.784249675076,-2563.2807981418737,2389.398201145921,预测存在系统性偏差
2,网格候选 context_len=60,60,True,3.6018299349270255,3.6890760659097106,3.75227702611073,6005.780943909375,5884.051893426059,1849.3204573973082,1277.9682501210045,预测存在系统性偏差
3,网格候选 context_len=63,63,True,3.592724660870619,3.521753814301767,3.6461618354978804,6642.133181146012,4929.648746250928,2978.7090097040723,1340.1413240055708,预测存在系统性偏差
4,网格候选 context_len=66,66,True,2.934135177306463,2.728740382883778,2.8238972347741096,6032.5275777906545,3920.1226794085464,2126.4990323605075,1408.793874489006,预测存在系统性偏差
5,网格候选 context_len=69,69,True,2.384283052749841,2.413187648980856,2.4176280012749234,4094.579397019747,3673.785120795356,-1188.6916001714271,1467.376491238945,预测存在系统性偏差
6,网格候选 context_len=72,72,True,1.4967069732544784,1.442757869694305,1.455739548573592,2867.6210514606773,2412.332470237554,150.38903166665403,1525.5071855276435,SARIMAX 当前配置较稳定
7,网格候选 context_len=75,75,True,2.8025176918136094,2.687305951033375,2.7467226125488855,5428.02773176735,4132.6742230769305,1204.7779953185877,1588.4240620584853,预测存在系统性偏差
8,网格候选 context_len=78,78,True,2.584951321677352,2.586662176227463,2.597623875854052,4561.362663190237,3557.18520092734,-395.30397063534184,1656.6242864267556,SARIMAX 当前配置较稳定
9,网格候选 context_len=81,81,True,2.282015454794701,2.2520763447697862,2.2715529870484907,4156.496113891421,2904.77133182658,959.570031600981,1725.9155432611842,预测存在系统性偏差
10,网格候选 context_len=84,84,True,1.8278495433241337,1.8098815627314764,1.8315967332930367,3304.4771425791655,2924.7565883801203,1489.6787841315904,1784.2618765795826,预测存在系统性偏差
11,网格候选 context_len=87,87,True,2.229681971609965,2.249153292422343,2.2536127163981208,3860.2511963766824,3099.8062735321755,-297.6775958728511,1855.0123582321783,SARIMAX 当前配置较稳定
12,网格候选 context_len=90,90,True,2.496688933405252,2.360298615431231,2.421774214833641,4974.867363164861,3568.512615190068,2476.876998684899,1916.4753070409774,预测存在系统性偏差
13,网格候选 context_len=93,93,True,2.4892540608418217,2.4370234791978835,2.431008235367026,4614.675583094579,4221.322400916286,-1741.4020594876667,1967.5713490385858,预测存在系统性偏差
14,网格候选 context_len=96,96,True,3.0343489073752385,2.8761372599901986,2.8495951517475278,6015.066032241991,5131.581863123569,-3357.7195978459904,2057.1746802183634,预测存在系统性偏差
15,网格候选 context_len=99,99,True,2.28708829680458,2.265654573514062,2.273679033959362,4130.387494018729,3813.465121152636,-713.5785586525977,2091.780934637651,SARIMAX 当前配置较稳定
16,网格候选 context_len=102,102,True,2.5482018888715423,2.3327266223722534,2.319718141779596,5392.031851896837,4456.415203239175,-1946.317521718971,2188.8738457530476,预测存在系统性偏差
17,网格候选 context_len=105,105,True,2.131430223261682,2.0803726310591055,2.0850949495722757,3977.4518142808665,3595.2553316093863,-749.5586229174689,2227.8838595350517,预测存在系统性偏差
18,网格候选 context_len=108,108,True,3.045639328512552,2.8936121647180886,2.8863585777028256,6009.5165980911215,5137.242379010216,-2218.5339175290983,2327.1899709829113,预测存在系统性偏差
